title="Potential"
variables = "x","y","V"
zone i=101,j=101,f=point
28 13 -1.18254
29 13 -1.22293
30 13 -1.26257
31 13 -1.30136
32 13 -1.33923
33 13 -1.37606
34 13 -1.41175
35 13 -1.44621
36 13 -1.47931
37 13 -1.51095
38 13 -1.54103
39 13 -1.56941
40 13 -1.59601
41 13 -1.62072
42 13 -1.64342
43 13 -1.66402
44 13 -1.68245
45 13 -1.6986
46 13 -1.7124
47 13 -1.7238
48 13 -1.73272
49 13 -1.73914
50 13 -1.74301
51 13 -1.74431
52 13 -1.74304
53 13 -1.73922
54 13 -1.73284
55 13 -1.72396
56 13 -1.71261
57 13 -1.69884
58 13 -1.68273
59 13 -1.66434
60 13 -1.64377
61 13 -1.62109
62 13 -1.59642
63 13 -1.56986
64 13 -1.54149
65 13 -1.51145
66 13 -1.47984
67 13 -1.44676
68 13 -1.41234
69 13 -1.37666
70 13 -1.33985
71 13 -1.302
72 13 -1.26322
73 13 -1.22359
74 13 -1.1832
75 13 -1.14215
76 13 -1.10052
77 13 -1.05836
78 13 -1.01577
79 13 -0.972791
80 13 -0.929489
81 13 -0.885916
82 13 -0.842125
83 13 -0.798152
84 13 -0.754031
85 13 -0.7098
86 13 -0.665493
87 13 -0.621128
88 13 -0.576726
89 13 -0.532304
90 13 -0.487877
91 13 -0.443454
92 13 -0.399041
93 13 -0.354644
94 13 -0.310268
95 13 -0.26591
96 13 -0.221569
97 13 -0.177246
98 13 -0.132933
99 13 -0.0886239
100 13 -0.0443127
101 13 0
1 14 0
2 14 -0.0479135
3 14 -0.0958256
4 14 -0.143746
5 14 -0.191682
6 14 -0.23964
7 14 -0.287624
8 14 -0.335638
9 14 -0.383686
10 14 -0.431766
11 14 -0.479877
12 14 -0.528014
13 14 -0.576172
14 14 -0.624339
15 14 -0.672501
16 14 -0.720644
17 14 -0.768744
18 14 -0.816777
19 14 -0.864713
20 14 -0.912514
21 14 -0.960145
22 14 -1.00756
23 14 -1.0547
24 14 -1.10152
25 14 -1.14795
26 14 -1.19393
27 14 -1.23937
28 14 -1.2842
29 14 -1.32833
30 14 -1.37166
31 14 -1.4141
32 14 -1.45555
33 14 -1.49589
34 14 -1.53501
35 14 -1.5728
36 14 -1.60913
37 14 -1.64387
38 14 -1.67691
39 14 -1.70811
40 14 -1.73737
41 14 -1.76456
42 14 -1.78956
43 14 -1.81226
44 14 -1.83256
45 14 -1.85037
46 14 -1.8656
47 14 -1.87816
48 14 -1.88801
49 14 -1.89509
50 14 -1.89936
51 14 -1.9008
52 14 -1.8994
53 14 -1.89517
54 14 -1.88814
55 14 -1.87834
56 14 -1.86581
57 14 -1.85063
58 14 -1.83286
59 14 -1.8126
60 14 -1.78994
61 14 -1.76497
62 14 -1.73782
63 14 -1.70859
64 14 -1.67741
65 14 -1.64441
66 14 -1.60969
67 14 -1.5734
68 14 -1.53564
69 14 -1.49654
70 14 -1.45622
71 14 -1.41479
72 14 -1.37236
73 14 -1.32904
74 14 -1.28491
75 14 -1.24009
